debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0003,DUKAKIS,with,160.15,160.27
1003,1003_t0003,DUKAKIS,our,160.27,160.38
1003,1003_t0003,DUKAKIS,neighbors,160.38,160.75
1003,1003_t0003,DUKAKIS,in,160.75,160.81
1003,1003_t0003,DUKAKIS,this,160.81,160.96
1003,1003_t0003,DUKAKIS,hemisphere,160.96,161.57
1003,1003_t0003,DUKAKIS,and,161.57,161.77
1003,1003_t0003,DUKAKIS,i,162.37,162.44
1003,1003_t0003,DUKAKIS,want,162.44,162.74
1003,1003_t0003,DUKAKIS,to,162.74,162.8
1003,1003_t0003,DUKAKIS,call,162.8,163.15
1003,1003_t0003,DUKAKIS,a,163.15,163.49
1003,1003_t0003,DUKAKIS,hemispheric,163.63,164.12
1003,1003_t0003,DUKAKIS,summit,164.12,164.45
1003,1003_t0003,DUKAKIS,just,164.45,164.64
1003,1003_t0003,DUKAKIS,as,164.64,164.71
1003,1003_t0003,DUKAKIS,soon,164.71,164.96
1003,1003_t0003,DUKAKIS,after,164.96,165.18
1003,1003_t0003,DUKAKIS,the,165.18,165.25
1003,1003_t0003,DUKAKIS,20th,165.25,165.48
1003,1003_t0003,DUKAKIS,of,165.48,165.65
1003,1003_t0003,DUKAKIS,january,165.65,166.04
1003,1003_t0003,DUKAKIS,as,166.04,166.12
1003,1003_t0003,DUKAKIS,possible,166.12,166.6
1003,1003_t0003,DUKAKIS,to,167.23,167.3
1003,1003_t0003,DUKAKIS,fight,167.3,167.56
1003,1003_t0003,DUKAKIS,that,167.56,167.77
1003,1003_t0003,DUKAKIS,war,167.77,168.0
1003,1003_t0003,DUKAKIS,but,168.0,168.15
1003,1003_t0003,DUKAKIS,we,168.15,168.26
1003,1003_t0003,DUKAKIS,also,168.26,168.71
1003,1003_t0003,DUKAKIS,have,168.71,168.99
1003,1003_t0003,DUKAKIS,to,168.99,169.06
1003,1003_t0003,DUKAKIS,deal,169.06,169.42
1003,1003_t0003,DUKAKIS,with,169.42,169.75
1003,1003_t0003,DUKAKIS,drug,169.75,169.94
1003,1003_t0003,DUKAKIS,education,169.94,170.45
1003,1003_t0003,DUKAKIS,prevention,170.45,170.86
1003,1003_t0003,DUKAKIS,here,170.86,171.02
1003,1003_t0003,DUKAKIS,at,171.02,171.08
1003,1003_t0003,DUKAKIS,home,171.08,171.37
1003,1003_t0003,DUKAKIS,and,172.81,172.9
1003,1003_t0003,DUKAKIS,that's,172.9,173.06
1003,1003_t0003,DUKAKIS,one,173.06,173.2
1003,1003_t0003,DUKAKIS,of,173.2,173.27
1003,1003_t0003,DUKAKIS,the,173.27,173.34
1003,1003_t0003,DUKAKIS,things,173.34,173.63
1003,1003_t0003,DUKAKIS,that,173.63,173.72
1003,1003_t0003,DUKAKIS,i,173.72,173.82
1003,1003_t0003,DUKAKIS,hope,173.82,174.04
1003,1003_t0003,DUKAKIS,i,174.04,174.14
1003,1003_t0003,DUKAKIS,can,174.14,174.28
1003,1003_t0003,DUKAKIS,lead,174.28,174.47
1003,1003_t0003,DUKAKIS,personally,174.47,175.02
1003,1003_t0003,DUKAKIS,as,175.02,175.13
1003,1003_t0003,DUKAKIS,the,175.13,175.19
1003,1003_t0003,DUKAKIS,president,175.19,175.44
1003,1003_t0003,DUKAKIS,of,175.44,175.5
1003,1003_t0003,DUKAKIS,the,175.5,175.56
1003,1003_t0003,DUKAKIS,united,175.56,175.88
1003,1003_t0003,DUKAKIS,states,175.88,176.21
1003,1003_t0003,DUKAKIS,we've,176.21,176.36
1003,1003_t0003,DUKAKIS,had,176.36,176.56
1003,1003_t0003,DUKAKIS,great,176.56,176.75
1003,1003_t0003,DUKAKIS,success,176.75,177.35
1003,1003_t0003,DUKAKIS,in,177.76,177.85
