debate_audio_id,turn_id,speaker,party,result,speaker_role,year,debate_type,date,n_sentences,n_words,n_syllables,turn_start_sec,turn_end_sec,speech_duration_sec,total_pause_sec,n_pauses_within_sentences,f0_mean,f0_std,intensity_mean_db,intensity_std_db,jitter_local_mean,shimmer_local_mean,hnr_mean_db,speech_rate_wps_mean,articulation_rate_wps_mean,syllable_rate_per_sec_mean,articulation_rate_syll_per_sec_mean,turn_floor_time_sec,turn_speech_density,pauses_per_100_words,mean_pause_sec_per_turn,turn_speech_rate_wps,turn_syllable_rate_per_sec,turn_articulation_rate_wps,turn_articulation_rate_syll_per_sec
1001,1001_t0021,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,2,17,25.0,693.273,698.519,4.145,0.0,0.0,115.463,4.654,65.418,3.787,0.019,0.084,8.665,4.109,4.109,6.052,6.052,5.246,0.79,0.0,0.0,3.241,4.766,4.101,6.031
1001,1001_t0022,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,12,172,249.0,708.055,769.684,54.016,2.27,6.0,137.982,7.728,64.881,2.356,0.026,0.098,8.06,3.535,3.612,4.981,5.1,61.629,0.876,3.488,0.378,2.791,4.04,3.184,4.61
1001,1001_t0023,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,2,8,10.0,769.724,771.545,1.801,0.0,0.0,115.566,0.533,62.749,1.581,0.026,0.11,7.967,4.578,4.578,5.597,5.597,1.821,0.989,0.0,0.0,4.393,5.491,4.442,5.552
1001,1001_t0024,Mashek,—,moderator,moderator,1988,Presidential,1988-09-25,4,77,118.0,772.257,798.991,25.353,0.19,1.0,125.143,5.492,64.52,1.144,0.028,0.11,9.548,2.984,3.0,4.867,4.662,26.734,0.948,1.299,0.19,2.88,4.414,3.037,4.654
1001,1001_t0025,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,19,333,475.0,799.251,914.361,103.994,3.67,11.0,147.307,15.581,63.876,2.574,0.027,0.101,8.961,3.205,3.309,4.522,4.666,115.11,0.903,3.303,0.334,2.893,4.126,3.202,4.568
1001,1001_t0026,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,1,7,11.0,914.982,916.522,1.54,0.0,0.0,127.281,,61.94,,0.023,0.125,10.362,4.545,4.545,7.143,7.143,1.54,1.0,0.0,0.0,4.545,7.143,4.545,7.143
1001,1001_t0027,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-09-25,6,181,245.0,916.683,966.808,44.935,3.04,9.0,119.364,7.865,61.843,0.899,0.029,0.114,9.064,4.109,4.342,5.73,6.047,50.125,0.896,4.972,0.338,3.611,4.888,4.028,5.452
1001,1001_t0028,Lehrer,—,moderator,moderator,1988,Presidential,1988-09-25,2,25,31.0,968.406,974.687,6.071,0.17,1.0,128.678,17.781,56.657,6.432,0.024,0.122,8.713,3.936,4.125,5.085,5.355,6.281,0.967,4.0,0.17,3.98,4.936,4.118,5.106
1001,1001_t0029,Groer,—,moderator,moderator,1988,Presidential,1988-09-25,4,60,93.0,974.727,996.233,19.765,0.44,2.0,220.286,9.143,61.816,0.452,0.024,0.108,11.533,3.23,3.293,7.606,4.778,21.506,0.919,3.333,0.22,2.79,4.324,3.036,4.705
1001,1001_t0030,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-09-25,19,359,480.0,996.773,1109.925,104.561,2.05,7.0,122.846,15.916,64.071,1.102,0.027,0.094,9.107,3.569,3.607,4.883,4.936,113.152,0.924,1.95,0.293,3.173,4.242,3.433,4.591
